Time,Channel A,Channel B
(ms),(V),(mV)

-0.32595900,4.90768100,-12.04871000
-0.16211900,4.90768100,-12.04871000
0.00172100,4.99618500,-12.04871000
0.16556100,4.99618500,-12.04871000
0.32940099,4.99618500,-11.14841000
0.49324099,5.08499400,-12.04871000
0.65708099,5.08499400,-11.14841000
0.82092099,5.17349800,-11.14841000
0.98476099,5.26230700,-11.14841000
1.14860099,5.26230700,-9.35087100
1.31244099,5.35111500,-8.45057600
1.47628099,5.35111500,-7.55027900
1.64012099,5.43961900,-5.74968700
1.80396099,5.43961900,-5.74968700
1.96780098,5.43961900,-5.74968700
2.13164098,5.43961900,-4.84939100
2.29548098,5.52842800,-3.94909500
2.45932098,5.52842800,-3.94909500
2.62316098,5.61693100,-3.04879900
2.78700098,5.70574000,-3.04879900
2.95084098,5.70574000,-3.04879900
3.11468098,5.70574000,-2.15155500
3.27852098,5.79454900,-2.15155500
3.44236098,5.79454900,-2.15155500
3.60620097,5.79454900,-3.04879900
3.77004097,5.97186200,-2.15155500
3.93388097,5.97186200,-3.04879900
4.09772097,5.97186200,-3.04879900
4.26156097,6.06036600,-3.04879900
4.42540097,6.06036600,-2.15155500
4.58924097,6.06036600,-2.15155500
4.75308097,6.06036600,-1.25125900
4.91692097,6.14917500,-1.25125900
5.08076097,6.14917500,-1.25125900
5.24460096,6.23767800,-0.35096290
5.40844096,6.32648700,-0.35096290
5.57228096,6.23767800,0.54933320
5.73612096,6.32648700,1.44962900
5.89996096,6.41529600,2.34992500
6.06380096,6.41529600,3.25022100
6.22764096,6.50379900,3.25022100
6.39148096,6.50379900,3.25022100
6.55532096,6.50379900,3.25022100
6.71916096,6.59260800,3.25022100
6.88300095,6.68111200,3.25022100
7.04684095,6.59260800,3.25022100
7.21068095,6.68111200,3.25022100
7.37452095,6.76992100,2.34992500
7.53836095,6.76992100,1.44962900
7.70220095,6.85873000,1.44962900
7.86604095,6.85873000,0.54933320
8.02988095,6.85873000,-0.35096290
8.19372095,6.94723400,-1.25125900
8.35756095,6.94723400,-1.25125900
8.52140095,7.03604200,-1.25125900
8.68524094,7.03604200,-2.15155500
8.84908094,7.12454600,-1.25125900
9.01292094,7.12454600,-0.35096290
9.17676094,7.21335500,-1.25125900
9.34060094,7.21335500,-0.35096290
9.50444094,7.21335500,-0.35096290
9.66828094,7.30216400,-0.35096290
9.83212094,7.30216400,-0.35096290
9.99596094,7.39066700,1.44962900
10.15980094,7.39066700,0.54933320
10.32364093,7.39066700,1.44962900
10.48748093,7.47947600,1.44962900
10.65132093,7.56798000,1.44962900
10.81516093,7.56798000,1.44962900
10.97900093,7.56798000,1.44962900
11.14284093,7.56798000,0.54933320
11.30668093,7.65678900,1.44962900
11.47052093,7.74559800,1.44962900
11.63436093,7.74559800,1.44962900
11.79820093,7.83410100,1.44962900
11.96204092,7.83410100,0.54933320
12.12588092,7.83410100,1.44962900
12.28972092,7.92291000,1.44962900
12.45356092,7.83410100,1.44962900
12.61740092,7.83410100,1.44962900
12.78124092,7.74559800,1.44962900
12.94508092,7.74559800,1.44962900
13.10892092,7.65678900,1.44962900
13.27276092,7.56798000,2.34992500
13.43660092,7.47947600,1.44962900
13.60044091,7.47947600,1.44962900
13.76428091,7.39066700,0.54933320
13.92812091,7.39066700,0.54933320
14.09196091,7.30216400,1.44962900
14.25580091,7.30216400,0.54933320
14.41964091,7.30216400,-0.35096290
14.58348091,7.21335500,-0.35096290
14.74732091,7.21335500,-0.35096290
14.91116091,7.12454600,-0.35096290
15.07500091,7.12454600,-1.25125900
15.23884090,7.12454600,-2.15155500
15.40268090,7.03604200,-1.25125900
15.56652090,7.03604200,-1.25125900
15.73036090,6.94723400,-0.35096290
15.89420090,6.94723400,-0.35096290
16.05804090,6.94723400,-0.35096290
16.22188090,6.85873000,0.54933320
16.38572090,6.85873000,0.54933320
16.54956090,6.76992100,1.44962900
16.71340090,6.76992100,2.34992500
16.87724089,6.68111200,2.34992500
17.04108089,6.68111200,3.25022100
17.20492089,6.68111200,3.25022100
17.36876089,6.59260800,3.25022100
17.53260089,6.59260800,4.15051700
17.69644089,6.50379900,3.25022100
17.86028089,6.50379900,3.25022100
18.02412089,6.41529600,2.34992500
18.18796089,6.32648700,2.34992500
18.35180089,6.32648700,1.44962900
18.51564088,6.32648700,0.54933320
18.67948088,6.23767800,0.54933320
18.84332088,6.23767800,-0.35096290
19.00716088,6.23767800,-1.25125900
19.17100088,6.14917500,-2.15155500
19.33484088,6.14917500,-1.25125900
19.49868088,6.06036600,-2.15155500
19.66252088,5.97186200,-2.15155500
19.82636088,5.97186200,-3.04879900
19.99020088,5.97186200,-2.15155500
20.15404087,5.97186200,-2.15155500
20.31788087,5.88305300,-3.04879900
20.48172087,5.79454900,-3.04879900
20.64556087,5.79454900,-2.15155500
20.80940087,5.79454900,-2.15155500
20.97324087,5.70574000,-2.15155500
21.13708087,5.70574000,-3.04879900
21.30092087,5.70574000,-3.04879900
21.46476087,5.61693100,-3.04879900
21.62860087,5.61693100,-3.94909500
21.79244086,5.52842800,-3.04879900
21.95628086,5.52842800,-4.84939100
22.12012086,5.43961900,-5.74968700
22.28396086,5.43961900,-5.74968700
22.44780086,5.35111500,-7.55027900
22.61164086,5.35111500,-7.55027900
22.77548086,5.35111500,-8.45057600
22.93932086,5.26230700,-9.35087100
23.10316086,5.26230700,-10.24812000
23.26700086,5.17349800,-10.24812000
23.43084085,5.08499400,-11.14841000
23.59468085,5.08499400,-11.14841000
23.75852085,4.99618500,-12.04871000
23.92236085,4.99618500,-12.04871000
24.08620085,4.99618500,-11.14841000
24.25004085,4.99618500,-11.14841000
24.41388085,4.90768100,-11.14841000
24.57772085,4.81887200,-11.14841000
24.74156085,4.81887200,-10.24812000
24.90540085,4.81887200,-9.35087100
25.06924084,4.81887200,-9.35087100
25.23308084,4.73006400,-9.35087100
25.39692084,4.73006400,-8.45057600
25.56076084,4.64156000,-7.55027900
25.72460084,4.64156000,-7.55027900
25.88844084,4.64156000,-6.64998300
26.05228084,4.55275100,-6.64998300
26.21612084,4.55275100,-5.74968700
26.37996084,4.46424800,-5.74968700
26.54380084,4.46424800,-5.74968700
26.70764083,4.37543900,-4.84939100
26.87148083,4.28663000,-6.64998300
27.03532083,4.28663000,-6.64998300
27.19916083,4.28663000,-6.64998300
27.36300083,4.19812600,-6.64998300
27.52684083,4.19812600,-6.64998300
27.69068083,4.10931700,-5.74968700
27.85452083,4.10931700,-4.84939100
28.01836083,4.10931700,-4.84939100
28.18220083,4.02081300,-4.84939100
28.34604082,4.02081300,-4.84939100
28.50988082,3.93200500,-3.94909500
28.67372082,3.93200500,-3.94909500
28.83756082,3.84319600,-2.15155500
29.00140082,3.84319600,-1.25125900
29.16524082,3.84319600,-1.25125900
29.32908082,3.75469200,-0.35096290
29.49292082,3.75469200,0.54933320
29.65676082,3.66588300,1.44962900
29.82060082,3.66588300,1.44962900
29.98444081,3.57738000,2.34992500
30.14828081,3.57738000,1.44962900
30.31212081,3.48857100,2.34992500
30.47596081,3.48857100,3.25022100
30.63980081,3.39976200,3.25022100
30.80364081,3.39976200,2.34992500
30.96748081,3.31125800,3.25022100
31.13132081,3.31125800,3.25022100
31.29516081,3.31125800,4.15051700
31.45900081,3.22244900,4.15051700
31.62284080,3.22244900,4.15051700
31.78668080,3.13394600,5.04776100
31.95052080,3.13394600,5.04776100
32.11436080,3.13394600,6.84530200
32.27820080,3.04513700,6.84530200
32.44204080,3.04513700,8.64589300
32.60588080,2.95663300,9.54619000
32.76972080,2.95663300,9.54619000
32.93356080,2.86782400,9.54619000
33.09740080,2.86782400,11.34678000
