Time,Channel A,Channel B
(ms),(V),(mV)

-0.27227600,4.90768100,-6.64998300
-0.10843600,4.90768100,-6.64998300
0.05540400,4.99618500,-5.74968700
0.21924400,4.99618500,-5.74968700
0.38308400,4.99618500,-5.74968700
0.54692400,4.99618500,-4.84939100
0.71076400,5.08499400,-4.84939100
0.87460400,5.08499400,-4.84939100
1.03844400,5.17349800,-3.94909500
1.20228399,5.17349800,-2.15155500
1.36612399,5.26230700,-2.15155500
1.52996399,5.26230700,0.54933320
1.69380399,5.35111500,1.44962900
1.85764399,5.35111500,1.44962900
2.02148399,5.43961900,2.34992500
2.18532399,5.43961900,3.25022100
2.34916399,5.43961900,3.25022100
2.51300399,5.52842800,4.15051700
2.67684399,5.52842800,5.04776100
2.84068398,5.61693100,4.15051700
3.00452398,5.61693100,4.15051700
3.16836398,5.70574000,3.25022100
3.33220398,5.70574000,5.04776100
3.49604398,5.79454900,4.15051700
3.65988398,5.79454900,5.04776100
3.82372398,5.79454900,4.15051700
3.98756398,5.88305300,4.15051700
4.15140398,5.88305300,4.15051700
4.31524398,5.97186200,4.15051700
4.47908397,5.97186200,3.25022100
4.64292397,6.06036600,4.15051700
4.80676397,6.06036600,3.25022100
4.97060397,6.06036600,4.15051700
5.13444397,6.14917500,5.04776100
5.29828397,6.14917500,5.04776100
5.46212397,6.14917500,5.04776100
5.62596397,6.23767800,5.94500500
5.78980397,6.32648700,5.94500500
5.95364397,6.32648700,6.84530200
6.11748396,6.32648700,6.84530200
6.28132396,6.41529600,7.74559700
6.44516396,6.41529600,7.74559700
6.60900396,6.50379900,7.74559700
6.77284396,6.50379900,6.84530200
6.93668396,6.59260800,6.84530200
7.10052396,6.59260800,6.84530200
7.26436396,6.68111200,6.84530200
7.42820396,6.68111200,5.94500500
7.59204396,6.68111200,4.15051700
7.75588395,6.76992100,4.15051700
7.91972395,6.76992100,3.25022100
8.08356395,6.85873000,2.34992500
8.24740395,6.85873000,2.34992500
8.41124395,6.94723400,1.44962900
8.57508395,6.94723400,1.44962900
8.73892395,7.03604200,1.44962900
8.90276395,7.03604200,1.44962900
9.06660395,7.03604200,0.54933320
9.23044395,7.12454600,0.54933320
9.39428394,7.12454600,1.44962900
9.55812394,7.21335500,1.44962900
9.72196394,7.21335500,1.44962900
9.88580394,7.30216400,1.44962900
10.04964394,7.30216400,2.34992500
10.21348394,7.30216400,2.34992500
10.37732394,7.39066700,1.44962900
10.54116394,7.39066700,3.25022100
10.70500394,7.47947600,2.34992500
10.86884394,7.47947600,2.34992500
11.03268393,7.56798000,2.34992500
11.19652393,7.56798000,2.34992500
11.36036393,7.65678900,1.44962900
11.52420393,7.65678900,1.44962900
11.68804393,7.65678900,1.44962900
11.85188393,7.74559800,0.54933320
12.01572393,7.74559800,-0.35096290
12.17956393,7.83410100,0.54933320
12.34340393,7.83410100,-0.35096290
12.50724393,7.92291000,-0.35096290
12.67108392,7.92291000,-0.35096290
12.83492392,7.83410100,-0.35096290
12.99876392,7.83410100,-0.35096290
13.16260392,7.74559800,-0.35096290
13.32644392,7.65678900,0.54933320
13.49028392,7.56798000,1.44962900
13.65412392,7.56798000,2.34992500
13.81796392,7.47947600,2.34992500
13.98180392,7.47947600,2.34992500
14.14564392,7.39066700,2.34992500
14.30948391,7.39066700,3.25022100
14.47332391,7.39066700,3.25022100
14.63716391,7.39066700,3.25022100
14.80100391,7.30216400,2.34992500
14.96484391,7.30216400,2.34992500
15.12868391,7.21335500,2.34992500
15.29252391,7.12454600,1.44962900
15.45636391,7.12454600,1.44962900
15.62020391,7.03604200,0.54933320
15.78404391,7.03604200,0.54933320
15.94788391,7.03604200,1.44962900
16.11172390,6.94723400,0.54933320
16.27556390,6.94723400,0.54933320
16.43940390,6.94723400,2.34992500
16.60324390,6.85873000,2.34992500
16.76708390,6.76992100,3.25022100
16.93092390,6.76992100,3.25022100
17.09476390,6.68111200,4.15051700
17.25860390,6.68111200,5.04776100
17.42244390,6.68111200,5.94500500
17.58628390,6.59260800,6.84530200
17.75012389,6.59260800,6.84530200
17.91396389,6.59260800,6.84530200
18.07780389,6.50379900,6.84530200
18.24164389,6.41529600,7.74559700
18.40548389,6.41529600,7.74559700
18.56932389,6.41529600,6.84530200
18.73316389,6.32648700,5.94500500
18.89700389,6.32648700,5.94500500
19.06084389,6.23767800,5.94500500
19.22468389,6.23767800,5.04776100
19.38852388,6.23767800,5.04776100
19.55236388,6.14917500,4.15051700
19.71620388,6.14917500,4.15051700
19.88004388,6.06036600,4.15051700
20.04388388,6.06036600,3.25022100
20.20772388,5.97186200,4.15051700
20.37156388,5.97186200,4.15051700
20.53540388,5.88305300,3.25022100
20.69924388,5.88305300,5.04776100
20.86308388,5.79454900,3.25022100
21.02692387,5.79454900,3.25022100
21.19076387,5.79454900,4.15051700
21.35460387,5.70574000,4.15051700
21.51844387,5.70574000,5.04776100
21.68228387,5.61693100,4.15051700
21.84612387,5.61693100,4.15051700
22.00996387,5.61693100,4.15051700
22.17380387,5.52842800,3.25022100
22.33764387,5.52842800,3.25022100
22.50148387,5.43961900,2.34992500
22.66532386,5.43961900,1.44962900
22.82916386,5.35111500,1.44962900
22.99300386,5.35111500,0.54933320
23.15684386,5.35111500,-0.35096290
23.32068386,5.26230700,-2.15155500
23.48452386,5.26230700,-3.04879900
23.64836386,5.08499400,-3.94909500
23.81220386,5.17349800,-3.94909500
23.97604386,5.08499400,-5.74968700
24.13988386,5.08499400,-5.74968700
24.30372385,4.99618500,-6.64998300
24.46756385,4.99618500,-6.64998300
24.63140385,4.90768100,-7.55027900
24.79524385,4.90768100,-7.55027900
24.95908385,4.90768100,-8.45057600
25.12292385,4.81887200,-7.55027900
25.28676385,4.81887200,-7.55027900
25.45060385,4.73006400,-7.55027900
25.61444385,4.73006400,-7.55027900
25.77828385,4.73006400,-7.55027900
25.94212384,4.64156000,-7.55027900
26.10596384,4.64156000,-7.55027900
26.26980384,4.55275100,-7.55027900
26.43364384,4.55275100,-7.55027900
26.59748384,4.46424800,-7.55027900
26.76132384,4.46424800,-7.55027900
26.92516384,4.37543900,-7.55027900
27.08900384,4.37543900,-7.55027900
27.25284384,4.37543900,-7.55027900
27.41668384,4.28663000,-8.45057600
27.58052383,4.19812600,-8.45057600
27.74436383,4.19812600,-7.55027900
27.90820383,4.19812600,-8.45057600
28.07204383,4.10931700,-8.45057600
28.23588383,4.10931700,-8.45057600
28.39972383,4.02081300,-7.55027900
28.56356383,4.02081300,-7.55027900
28.72740383,3.93200500,-7.55027900
28.89124383,3.93200500,-7.55027900
29.05508383,3.93200500,-6.64998300
29.21892382,3.84319600,-6.64998300
29.38276382,3.84319600,-6.64998300
29.54660382,3.84319600,-5.74968700
29.71044382,3.75469200,-5.74968700
29.87428382,3.75469200,-5.74968700
30.03812382,3.66588300,-5.74968700
30.20196382,3.66588300,-4.84939100
30.36580382,3.57738000,-4.84939100
30.52964382,3.57738000,-4.84939100
30.69348382,3.48857100,-5.74968700
30.85732381,3.39976200,-4.84939100
31.02116381,3.48857100,-4.84939100
31.18500381,3.39976200,-5.74968700
31.34884381,3.31125800,-4.84939100
31.51268381,3.31125800,-4.84939100
31.67652381,3.22244900,-4.84939100
31.84036381,3.22244900,-4.84939100
32.00420381,3.22244900,-4.84939100
32.16804381,3.13394600,-3.94909500
32.33188381,3.13394600,-3.04879900
32.49572380,3.04513700,-2.15155500
32.65956380,3.04513700,-2.15155500
32.82340380,3.04513700,-1.25125900
32.98724380,2.95663300,-0.35096290
33.15108380,2.95663300,0.54933320
33.31492380,2.86782400,0.54933320
33.47876380,2.86782400,0.54933320
