Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,16067900;4,85183300;-26,40461000
-0,07875900;4,85183300;-24,60402000
0,00316100;4,94003100;-22,80953000
0,08508100;4,94003100;-21,00894000
0,16700100;4,94003100;-19,21445000
0,24892099;4,94003100;-17,41386000
0,33084099;4,94003100;-15,61937000
0,41276099;5,02822900;-13,81878000
0,49468099;5,02822900;-12,02429000
0,57660099;5,02822900;-10,22370000
0,65852099;5,02822900;-10,22370000
0,74044099;5,02822900;-6,62862000
0,82236099;5,11673400;-4,83413200
0,90428099;5,11673400;-3,03354000
0,98620099;5,11673400;-3,03354000
1,06812099;5,11673400;0,56154050
1,15004099;5,11673400;0,56154050
1,23196099;5,11673400;2,35602900
1,31388099;5,20493100;4,15662100
1,39580099;5,20493100;5,95110900
1,47772099;5,20493100;7,74559700
1,55964099;5,20493100;9,54619000
1,64156099;5,20493100;11,34068000
1,72348099;5,29313000;14,93576000
1,80540099;5,29313000;16,73635000
1,88732098;5,29313000;18,53084000
1,96924098;5,29313000;22,12592000
2,05116098;5,29313000;23,92651000
2,13308098;5,38132900;27,52159000
2,21500098;5,38132900;29,31608000
2,29692098;5,46952700;29,31608000
2,37884098;5,46952700;32,91116000
2,46076098;5,46952700;34,71175000
2,54268098;5,46952700;36,50624000
2,62460098;5,46952700;38,30684000
2,70652098;5,46952700;40,10132000
2,78844098;5,55772600;41,90191000
2,87036098;5,55772600;43,69640000
2,95228098;5,55772600;43,69640000
3,03420098;5,64622900;45,49699000
3,11612098;5,64622900;45,49699000
3,19804098;5,64622900;47,29148000
3,27996098;5,64622900;49,09208000
3,36188098;5,64622900;50,88656000
3,44380098;5,73442800;50,88656000
3,52572097;5,73442800;52,68715000
3,60764097;5,73442800;54,48164000
3,68956097;5,82262600;56,28223000
3,77148097;5,73442800;58,07672000
3,85340097;5,82262600;58,07672000
3,93532097;5,82262600;59,87732000
4,01724097;5,82262600;59,87732000
4,09916097;5,82262600;61,67181000
4,18108097;5,91082500;61,67181000
4,26300097;5,82262600;63,47239000
4,34492097;5,91082500;65,27299000
4,42684097;5,91082500;65,27299000
4,50876097;5,91082500;67,06747000
4,59068097;5,91082500;68,86806000
4,67260097;5,99902300;68,86806000
4,75452097;5,99902300;72,46315000
4,83644097;5,99902300;72,46315000
4,91836097;5,99902300;72,46315000
5,00028097;6,08722200;74,25764000
5,08220097;6,08722200;76,05823000
5,16412096;6,08722200;77,85271000
5,24604096;6,17572500;79,65331000
5,32796096;6,17572500;79,65331000
5,40988096;6,17572500;79,65331000
5,49180096;6,17572500;81,44780000
5,57372096;6,26392400;81,44780000
5,65564096;6,17572500;83,24839000
5,73756096;6,26392400;83,24839000
5,81948096;6,26392400;85,04288000
5,90140096;6,26392400;85,04288000
5,98332096;6,26392400;85,04288000
6,06524096;6,26392400;86,84347000
6,14716096;6,35212200;86,84347000
6,22908096;6,35212200;86,84347000
6,31100096;6,35212200;88,63795000
6,39292096;6,35212200;88,63795000
6,47484096;6,44032100;88,63795000
6,55676096;6,44032100;90,43855000
6,63868096;6,44032100;90,43855000
6,72060096;6,44032100;90,43855000
6,80252095;6,52852000;92,23304000
6,88444095;6,52852000;90,43855000
6,96636095;6,52852000;92,23304000
7,04828095;6,52852000;90,43855000
7,13020095;6,52852000;90,43855000
7,21212095;6,61671800;88,63795000
7,29404095;6,61671800;88,63795000
7,37596095;6,61671800;88,63795000
7,45788095;6,70491600;88,63795000
7,53980095;6,70491600;88,63795000
7,62172095;6,70491600;86,84347000
7,70364095;6,70491600;86,84347000
7,78556095;6,70491600;86,84347000
7,86748095;6,70491600;86,84347000
7,94940095;6,70491600;86,84347000
8,03132095;6,70491600;86,84347000
8,11324095;6,79342000;86,84347000
8,19516095;6,79342000;86,84347000
8,27708095;6,79342000;85,04288000
8,35900095;6,88161800;86,84347000
8,44092094;6,88161800;85,04288000
8,52284094;6,88161800;85,04288000
8,60476094;6,88161800;85,04288000
8,68668094;6,88161800;83,24839000
8,76860094;6,88161800;83,24839000
8,85052094;6,96981700;83,24839000
8,93244094;6,96981700;81,44780000
9,01436094;6,96981700;81,44780000
9,09628094;7,05801500;81,44780000
9,17820094;7,05801500;81,44780000
9,26012094;7,05801500;79,65331000
9,34204094;7,05801500;79,65331000
9,42396094;7,14621400;77,85271000
9,50588094;7,14621400;77,85271000
9,58780094;7,14621400;77,85271000
9,66972094;7,23441200;76,05823000
9,75164094;7,23441200;74,25764000
9,83356094;7,23441200;74,25764000
9,91548094;7,23441200;72,46315000
9,99740094;7,23441200;70,66255000
10,07932093;7,23441200;68,86806000
10,16124093;7,32291700;68,86806000
10,24316093;7,32291700;67,06747000
10,32508093;7,32291700;67,06747000
10,40700093;7,32291700;65,27299000
10,48892093;7,32291700;65,27299000
10,57084093;7,41111500;61,67181000
10,65276093;7,41111500;61,67181000
10,73468093;7,41111500;59,87732000
10,81660093;7,49931300;59,87732000
10,89852093;7,49931300;58,07672000
10,98044093;7,49931300;56,28223000
11,06236093;7,49931300;54,48164000
11,14428093;7,58751200;52,68715000
11,22620093;7,58751200;52,68715000
11,30812093;7,58751200;50,88656000
11,39004093;7,58751200;49,09208000
11,47196093;7,58751200;47,29148000
11,55388093;7,58751200;45,49699000
11,63580093;7,67571000;45,49699000
11,71772092;7,67571000;43,69640000
11,79964092;7,67571000;41,90191000
11,88156092;7,76390900;40,10132000
11,96348092;7,76390900;40,10132000
12,04540092;7,76390900;36,50624000
12,12732092;7,76390900;36,50624000
12,20924092;7,76390900;34,71175000
12,29116092;7,76390900;32,91116000
12,37308092;7,85210700;31,11667000
12,45500092;7,85210700;29,31608000
12,53692092;7,85210700;27,52159000
12,61884092;7,94061100;23,92651000
12,70076092;7,94061100;22,12592000
12,78268092;7,94061100;20,33143000
12,86460092;7,94061100;18,53084000
12,94652092;7,94061100;14,93576000
13,02844092;7,94061100;13,14127000
13,11036092;8,02881000;11,34068000
13,19228092;7,94061100;9,54619000
13,27420092;7,94061100;9,54619000
13,35612091;7,94061100;11,34068000
13,43804091;7,94061100;14,93576000
13,51996091;7,94061100;14,93576000
13,60188091;7,94061100;18,53084000
13,68380091;7,85210700;20,33143000
13,76572091;7,85210700;22,12592000
13,84764091;7,76390900;23,92651000
13,92956091;7,76390900;23,92651000
14,01148091;7,76390900;23,92651000
14,09340091;7,67571000;23,92651000
14,17532091;7,67571000;22,12592000
14,25724091;7,67571000;22,12592000
14,33916091;7,58751200;20,33143000
14,42108091;7,58751200;18,53084000
14,50300091;7,58751200;16,73635000
14,58492091;7,58751200;14,93576000
14,66684091;7,49931300;14,93576000
14,74876091;7,49931300;14,93576000
14,83068091;7,49931300;13,14127000
14,91260091;7,49931300;11,34068000
14,99452091;7,49931300;11,34068000
15,07644090;7,41111500;9,54619000
15,15836090;7,49931300;9,54619000
15,24028090;7,41111500;7,74559700
15,32220090;7,41111500;7,74559700
15,40412090;7,41111500;7,74559700
15,48604090;7,32291700;5,95110900
15,56796090;7,32291700;4,15662100
15,64988090;7,32291700;2,35602900
15,73180090;7,32291700;2,35602900
15,81372090;7,32291700;0,56154050
15,89564090;7,23441200;-1,23905100
15,97756090;7,23441200;-3,03354000
16,05948090;7,23441200;-4,83413200
16,14140090;7,23441200;-6,62862000
16,22332090;7,14621400;-6,62862000
16,30524090;7,14621400;-8,42921200
16,38716090;7,05801500;-12,02429000
16,46908090;7,05801500;-12,02429000
16,55100090;7,05801500;-15,61937000
16,63292090;7,05801500;-15,61937000
16,71484089;7,05801500;-17,41386000
16,79676089;6,96981700;-19,21445000
16,87868089;6,96981700;-21,00894000
16,96060089;6,96981700;-22,80953000
