Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,14212400;4,85183300;-33,59477000
-0,06020400;4,85183300;-35,38926000
0,02171600;4,94003100;-37,18985000
0,10363600;4,94003100;-38,98434000
0,18555600;4,94003100;-40,78493000
0,26747600;4,94003100;-42,57943000
0,34939600;5,02822900;-46,17450000
0,43131600;5,02822900;-47,97510000
0,51323599;5,02822900;-49,76958000
0,59515599;5,02822900;-51,57018000
0,67707599;5,02822900;-53,37077000
0,75899599;5,11673400;-55,16526000
0,84091599;5,11673400;-56,96585000
0,92283599;5,11673400;-56,96585000
1,00475599;5,11673400;-58,76034000
1,08667599;5,11673400;-60,56093000
1,16859599;5,11673400;-60,56093000
1,25051599;5,20493100;-64,15601000
1,33243599;5,20493100;-64,15601000
1,41435599;5,20493100;-65,95050000
1,49627599;5,20493100;-67,75109000
1,57819599;5,20493100;-69,54558000
1,66011599;5,20493100;-71,34617000
1,74203599;5,29313000;-71,34617000
1,82395599;5,29313000;-74,94125000
1,90587599;5,29313000;-76,73574000
1,98779599;5,29313000;-76,73574000
2,06971599;5,38132900;-78,53633000
2,15163598;5,38132900;-78,53633000
2,23355598;5,38132900;-80,33082000
2,31547598;5,38132900;-82,13141000
2,39739598;5,46952700;-82,13141000
2,47931598;5,46952700;-83,92590000
2,56123598;5,46952700;-83,92590000
2,64315598;5,46952700;-83,92590000
2,72507598;5,55772600;-83,92590000
2,80699598;5,55772600;-82,13141000
2,88891598;5,55772600;-82,13141000
2,97083598;5,64622900;-82,13141000
3,05275598;5,64622900;-80,33082000
3,13467598;5,64622900;-80,33082000
3,21659598;5,64622900;-78,53633000
3,29851598;5,64622900;-78,53633000
3,38043598;5,73442800;-76,73574000
3,46235598;5,64622900;-74,94125000
3,54427598;5,73442800;-74,94125000
3,62619598;5,73442800;-74,94125000
3,70811598;5,82262600;-73,14066000
3,79003597;5,73442800;-71,34617000
3,87195597;5,82262600;-69,54558000
3,95387597;5,82262600;-67,75109000
4,03579597;5,82262600;-67,75109000
4,11771597;5,82262600;-65,95050000
4,19963597;5,91082500;-64,15601000
4,28155597;5,91082500;-62,35542000
4,36347597;5,91082500;-62,35542000
4,44539597;5,91082500;-58,76034000
4,52731597;5,99902300;-56,96585000
4,60923597;5,99902300;-55,16526000
4,69115597;5,99902300;-53,37077000
4,77307597;5,99902300;-49,76958000
4,85499597;5,99902300;-47,97510000
4,93691597;5,99902300;-47,97510000
5,01883597;6,08722200;-46,17450000
5,10075597;6,08722200;-42,57943000
5,18267597;6,08722200;-42,57943000
5,26459597;6,17572500;-38,98434000
5,34651597;6,17572500;-37,18985000
5,42843596;6,17572500;-35,38926000
5,51035596;6,17572500;-33,59477000
5,59227596;6,17572500;-33,59477000
5,67419596;6,26392400;-29,99969000
5,75611596;6,17572500;-29,99969000
5,83803596;6,26392400;-28,19910000
5,91995596;6,26392400;-28,19910000
6,00187596;6,35212200;-28,19910000
6,08379596;6,26392400;-26,40461000
6,16571596;6,35212200;-26,40461000
6,24763596;6,35212200;-26,40461000
6,32955596;6,35212200;-26,40461000
6,41147596;6,44032100;-26,40461000
6,49339596;6,44032100;-28,19910000
6,57531596;6,44032100;-28,19910000
6,65723596;6,52852000;-29,99969000
6,73915596;6,52852000;-31,79418000
6,82107596;6,52852000;-31,79418000
6,90299596;6,52852000;-33,59477000
6,98491596;6,52852000;-35,38926000
7,06683595;6,52852000;-37,18985000
7,14875595;6,61671800;-38,98434000
7,23067595;6,61671800;-42,57943000
7,31259595;6,61671800;-42,57943000
7,39451595;6,61671800;-46,17450000
7,47643595;6,61671800;-47,97510000
7,55835595;6,70491600;-49,76958000
7,64027595;6,70491600;-51,57018000
7,72219595;6,70491600;-55,16526000
7,80411595;6,70491600;-56,96585000
7,88603595;6,70491600;-58,76034000
7,96795595;6,79342000;-60,56093000
8,04987595;6,79342000;-62,35542000
8,13179595;6,79342000;-64,15601000
8,21371595;6,79342000;-67,75109000
8,29563595;6,79342000;-69,54558000
8,37755595;6,88161800;-71,34617000
8,45947595;6,88161800;-73,14066000
8,54139595;6,88161800;-76,73574000
8,62331595;6,88161800;-78,53633000
8,70523594;6,88161800;-78,53633000
8,78715594;6,88161800;-82,13141000
8,86907594;6,96981700;-83,92590000
8,95099594;6,96981700;-83,92590000
9,03291594;6,96981700;-85,72649000
9,11483594;7,05801500;-85,72649000
9,19675594;7,05801500;-87,52098000
9,27867594;7,05801500;-89,32157000
9,36059594;7,05801500;-89,32157000
9,44251594;7,14621400;-89,32157000
9,52443594;7,05801500;-89,32157000
9,60635594;7,14621400;-87,52098000
9,68827594;7,23441200;-87,52098000
9,77019594;7,23441200;-87,52098000
9,85211594;7,23441200;-87,52098000
9,93403594;7,23441200;-85,72649000
10,01595594;7,23441200;-85,72649000
10,09787594;7,23441200;-83,92590000
10,17979594;7,32291700;-82,13141000
10,26171594;7,32291700;-82,13141000
10,34363593;7,32291700;-80,33082000
10,42555593;7,32291700;-78,53633000
10,50747593;7,41111500;-76,73574000
10,58939593;7,41111500;-76,73574000
10,67131593;7,41111500;-74,94125000
10,75323593;7,41111500;-73,14066000
10,83515593;7,41111500;-71,34617000
10,91707593;7,49931300;-69,54558000
10,99899593;7,49931300;-67,75109000
11,08091593;7,58751200;-67,75109000
11,16283593;7,58751200;-64,15601000
11,24475593;7,58751200;-64,15601000
11,32667593;7,58751200;-64,15601000
11,40859593;7,58751200;-62,35542000
11,49051593;7,58751200;-60,56093000
11,57243593;7,58751200;-60,56093000
11,65435593;7,67571000;-58,76034000
11,73627593;7,67571000;-58,76034000
11,81819593;7,67571000;-56,96585000
11,90011593;7,67571000;-58,76034000
11,98203593;7,76390900;-58,76034000
12,06395592;7,76390900;-60,56093000
12,14587592;7,76390900;-60,56093000
12,22779592;7,85210700;-60,56093000
12,30971592;7,85210700;-62,35542000
12,39163592;7,85210700;-62,35542000
12,47355592;7,85210700;-64,15601000
12,55547592;7,85210700;-64,15601000
12,63739592;7,94061100;-65,95050000
12,71931592;7,94061100;-67,75109000
12,80123592;7,94061100;-67,75109000
12,88315592;7,94061100;-69,54558000
12,96507592;7,94061100;-71,34617000
13,04699592;7,94061100;-73,14066000
13,12891592;7,94061100;-74,94125000
13,21083592;8,02881000;-73,14066000
13,29275592;7,94061100;-73,14066000
13,37467592;8,02881000;-71,34617000
13,45659592;7,94061100;-67,75109000
13,53851592;7,94061100;-64,15601000
13,62043592;7,94061100;-58,76034000
13,70235591;7,94061100;-53,37077000
13,78427591;7,85210700;-47,97510000
13,86619591;7,85210700;-40,78493000
13,94811591;7,76390900;-35,38926000
14,03003591;7,76390900;-28,19910000
14,11195591;7,67571000;-24,60402000
14,19387591;7,67571000;-21,00894000
14,27579591;7,67571000;-19,21445000
14,35771591;7,58751200;-17,41386000
14,43963591;7,58751200;-17,41386000
14,52155591;7,58751200;-15,61937000
14,60347591;7,58751200;-13,81878000
14,68539591;7,58751200;-13,81878000
14,76731591;7,58751200;-13,81878000
14,84923591;7,49931300;-13,81878000
14,93115591;7,49931300;-13,81878000
15,01307591;7,49931300;-13,81878000
15,09499591;7,49931300;-12,02429000
15,17691591;7,41111500;-13,81878000
15,25883591;7,41111500;-12,02429000
15,34075590;7,41111500;-12,02429000
15,42267590;7,41111500;-12,02429000
15,50459590;7,41111500;-10,22370000
15,58651590;7,41111500;-10,22370000
15,66843590;7,41111500;-10,22370000
15,75035590;7,32291700;-10,22370000
15,83227590;7,32291700;-8,42921200
15,91419590;7,32291700;-8,42921200
15,99611590;7,23441200;-6,62862000
16,07803590;7,23441200;-6,62862000
16,15995590;7,23441200;-4,83413200
