Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,12847300;4,85183300;-0,39216280
-0,04655300;4,85183300;-0,39216280
0,03536700;4,94003100;-0,39216280
0,11728700;4,94003100;-0,84536270
0,19920700;4,94003100;-0,84536270
0,28112700;4,94003100;-1,30008900
0,36304700;5,02822900;-1,30008900
0,44496700;5,02822900;-1,75328800
0,52688700;5,02822900;-2,66121400
0,60880700;5,11673400;-2,66121400
0,69072700;5,11673400;-3,11441400
0,77264700;5,11673400;-3,56914000
0,85456700;5,11673400;-4,47553900
0,93648700;5,11673400;-4,93026500
1,01840700;5,11673400;-5,38346500
1,10032700;5,11673400;-5,83819100
1,18224700;5,11673400;-6,29139000
1,26416700;5,20493100;-6,74459100
1,34608700;5,20493100;-6,74459100
1,42800700;5,20493100;-6,74459100
1,50992699;5,20493100;-6,29139000
1,59184699;5,20493100;-5,38346500
1,67376699;5,29313000;-4,93026500
1,75568699;5,29313000;-3,11441400
1,83760699;5,29313000;-1,75328800
1,91952699;5,29313000;0,06103702
2,00144699;5,38132900;1,87536200
2,08336699;5,38132900;3,68968800
2,16528699;5,38132900;5,50553900
2,24720699;5,46952700;7,31986400
2,32912699;5,38132900;8,68251600
2,41104699;5,46952700;10,04364000
2,49296699;5,46952700;11,40477000
2,57488699;5,46952700;12,31269000
2,65680699;5,46952700;12,76589000
2,73872699;5,46952700;13,21909000
2,82064699;5,46952700;12,31269000
2,90256699;5,55772600;12,31269000
2,98448699;5,55772600;11,40477000
3,06640699;5,64622900;10,49684000
3,14832698;5,64622900;9,13571600
3,23024698;5,64622900;7,77459000
3,31216698;5,64622900;6,41346500
3,39408698;5,73442800;5,05233900
3,47600698;5,64622900;3,68968800
3,55792698;5,73442800;2,32856200
3,63984698;5,73442800;0,96896270
3,72176698;5,73442800;0,06103702
3,80368698;5,82262600;-0,84536270
3,88560698;5,82262600;-0,84536270
3,96752698;5,82262600;-1,30008900
4,04944698;5,82262600;-1,75328800
4,13136698;5,82262600;-1,75328800
4,21328698;5,91082500;-1,30008900
4,29520698;5,91082500;-1,30008900
4,37712698;5,91082500;-1,30008900
4,45904698;5,91082500;-0,84536270
4,54096698;5,91082500;-0,84536270
4,62288698;5,99902300;-0,84536270
4,70480698;5,99902300;-1,30008900
4,78672697;5,99902300;-0,84536270
4,86864697;5,99902300;-1,30008900
4,95056697;5,99902300;-1,30008900
5,03248697;6,08722200;-1,75328800
5,11440697;6,08722200;-1,75328800
5,19632697;6,08722200;-1,30008900
5,27824697;6,17572500;-1,75328800
5,36016697;6,17572500;-0,39216280
5,44208697;6,17572500;0,51576280
5,52400697;6,17572500;1,87536200
5,60592697;6,17572500;3,68968800
5,68784697;6,17572500;5,95873900
5,76976697;6,26392400;8,22779000
5,85168697;6,26392400;10,95004000
5,93360697;6,26392400;13,67382000
6,01552697;6,35212200;16,39607000
6,09744697;6,35212200;19,57305000
6,17936697;6,35212200;22,29530000
6,26128697;6,35212200;25,01755000
6,34320697;6,35212200;27,73980000
6,42512697;6,44032100;30,46358000
6,50704696;6,44032100;32,73110000
6,58896696;6,44032100;35,00015000
6,67088696;6,52852000;36,36128000
6,75280696;6,52852000;38,17713000
6,83472696;6,52852000;39,08505000
6,91664696;6,52852000;39,53825000
6,99856696;6,52852000;39,53825000
7,08048696;6,61671800;39,53825000
7,16240696;6,52852000;39,53825000
7,24432696;6,52852000;39,08505000
7,32624696;6,61671800;38,63033000
7,40816696;6,61671800;38,17713000
7,49008696;6,61671800;37,26920000
7,57200696;6,70491600;36,36128000
7,65392696;6,70491600;35,45488000
7,73584696;6,70491600;35,00015000
7,81776696;6,70491600;34,09375000
7,89968696;6,70491600;33,18583000
7,98160696;6,79342000;32,73110000
8,06352696;6,79342000;31,82470000
8,14544695;6,79342000;30,91677000
8,22736695;6,79342000;30,46358000
8,30928695;6,88161800;29,10093000
8,39120695;6,88161800;28,19452000
8,47312695;6,88161800;27,28660000
8,55504695;6,88161800;25,47075000
8,63696695;6,88161800;24,56435000
8,71888695;6,96981700;23,20322000
8,80080695;6,96981700;21,38737000
8,88272695;6,96981700;20,02625000
8,96464695;6,96981700;17,75719000
9,04656695;7,05801500;15,94287000
9,12848695;7,05801500;14,58022000
9,21040695;7,05801500;12,76589000
9,29232695;7,05801500;10,95004000
9,37424695;7,05801500;10,49684000
9,45616695;7,14621400;9,58891500
9,53808695;7,05801500;9,58891500
9,62000695;7,14621400;9,13571600
9,70192695;7,23441200;10,04364000
9,78384694;7,23441200;10,49684000
9,86576694;7,23441200;11,40477000
9,94768694;7,23441200;12,76589000
10,02960694;7,23441200;14,12702000
10,11152694;7,23441200;15,03494000
10,19344694;7,23441200;16,39607000
10,27536694;7,32291700;17,75719000
10,35728694;7,32291700;19,11832000
10,43920694;7,32291700;20,47944000
10,52112694;7,41111500;21,84057000
10,60304694;7,41111500;23,20322000
10,68496694;7,41111500;23,65642000
10,76688694;7,41111500;24,10962000
10,84880694;7,49931300;24,56435000
10,93072694;7,49931300;24,56435000
11,01264694;7,58751200;24,10962000
11,09456694;7,58751200;23,65642000
11,17648694;7,58751200;22,74850000
11,25840694;7,58751200;21,84057000
11,34032694;7,58751200;20,47944000
11,42224693;7,58751200;20,02625000
11,50416693;7,67571000;18,66512000
11,58608693;7,67571000;18,21040000
11,66800693;7,67571000;17,30400000
11,74992693;7,67571000;16,84927000
11,83184693;7,76390900;16,84927000
11,91376693;7,76390900;16,84927000
11,99568693;7,76390900;16,84927000
12,07760693;7,76390900;16,84927000
12,15952693;7,76390900;16,84927000
12,24144693;7,85210700;16,84927000
12,32336693;7,85210700;16,84927000
12,40528693;7,76390900;16,39607000
12,48720693;7,94061100;15,94287000
12,56912693;7,94061100;15,03494000
12,65104693;7,85210700;14,12702000
12,73296693;7,94061100;12,31269000
12,81488693;7,94061100;10,49684000
12,89680693;7,94061100;9,13571600
12,97872693;7,94061100;7,31986400
13,06064692;7,94061100;5,95873900
13,14256692;7,94061100;5,50553900
13,22448692;8,02881000;5,50553900
13,30640692;7,94061100;6,86666500
13,38832692;7,94061100;8,68251600
13,47024692;7,94061100;10,04364000
13,55216692;7,94061100;12,31269000
13,63408692;7,94061100;14,12702000
13,71600692;7,85210700;14,58022000
13,79792692;7,85210700;14,58022000
13,87984692;7,76390900;13,67382000
13,96176692;7,67571000;11,85797000
14,04368692;7,67571000;10,95004000
14,12560692;7,67571000;10,49684000
14,20752692;7,58751200;10,49684000
14,28944692;7,58751200;10,04364000
14,37136692;7,58751200;10,49684000
14,45328692;7,58751200;10,04364000
14,53520692;7,58751200;10,49684000
14,61712692;7,49931300;9,58891500
14,69904691;7,58751200;9,13571600
14,78096691;7,49931300;8,68251600
14,86288691;7,49931300;7,77459000
14,94480691;7,49931300;7,31986400
15,02672691;7,41111500;5,95873900
15,10864691;7,49931300;5,50553900
15,19056691;7,41111500;4,14441300
15,27248691;7,41111500;2,78328800
15,35440691;7,32291700;1,87536200
15,43632691;7,41111500;0,06103702
15,51824691;7,32291700;-1,75328800
15,60016691;7,32291700;-4,02233900
15,68208691;7,32291700;-5,83819100
15,76400691;7,32291700;-7,65251600
15,84592691;7,23441200;-9,46836800
15,92784691;7,23441200;-11,28269000
16,00976691;7,23441200;-12,19062000
16,09168691;7,23441200;-13,09854000
16,17360691;7,14621400;-14,00494000
16,25552691;7,05801500;-14,00494000
16,33744690;7,14621400;-13,55174000
16,41936690;7,14621400;-12,64382000
16,50128690;7,05801500;-11,73589000
16,58320690;7,05801500;-9,92156700
16,66512690;7,05801500;-8,56044200
16,74704690;6,96981700;-7,19931700
16,82896690;6,96981700;-5,83819100
