Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,14680601;3,96954300;-76,73574000
-0,06488601;3,96954300;-76,73574000
0,01703399;4,05774100;-76,73574000
0,09895399;4,05774100;-76,73574000
0,18087399;4,05774100;-76,73574000
0,26279399;4,05774100;-76,73574000
0,34471399;4,05774100;-76,73574000
0,42663399;4,14594000;-76,73574000
0,50855399;4,14594000;-76,73574000
0,59047399;4,14594000;-78,53633000
0,67239399;4,23413800;-76,73574000
0,75431399;4,23413800;-76,73574000
0,83623399;4,23413800;-76,73574000
0,91815399;4,23413800;-78,53633000
1,00007399;4,32233700;-76,73574000
1,08199399;4,32233700;-78,53633000
1,16391398;4,32233700;-76,73574000
1,24583398;4,41053500;-76,73574000
1,32775398;4,41053500;-76,73574000
1,40967398;4,41053500;-76,73574000
1,49159398;4,41053500;-76,73574000
1,57351398;4,49903900;-76,73574000
1,65543398;4,49903900;-78,53633000
1,73735398;4,49903900;-76,73574000
1,81927398;4,49903900;-76,73574000
1,90119398;4,49903900;-76,73574000
1,98311398;4,58723700;-78,53633000
2,06503398;4,58723700;-76,73574000
2,14695398;4,58723700;-76,73574000
2,22887398;4,58723700;-76,73574000
2,31079398;4,58723700;-74,94125000
2,39271398;4,67543600;-74,94125000
2,47463398;4,67543600;-73,14066000
2,55655398;4,67543600;-71,34617000
2,63847398;4,76363400;-71,34617000
2,72039398;4,76363400;-71,34617000
2,80231397;4,76363400;-71,34617000
2,88423397;4,76363400;-71,34617000
2,96615397;4,76363400;-71,34617000
3,04807397;4,76363400;-71,34617000
3,12999397;4,85183300;-71,34617000
3,21191397;4,85183300;-71,34617000
3,29383397;4,85183300;-73,14066000
3,37575397;4,94003100;-73,14066000
3,45767397;4,94003100;-73,14066000
3,53959397;4,94003100;-74,94125000
3,62151397;4,94003100;-74,94125000
3,70343397;5,02822900;-76,73574000
3,78535397;5,11673400;-76,73574000
3,86727397;5,11673400;-76,73574000
3,94919397;5,11673400;-74,94125000
4,03111397;5,11673400;-76,73574000
4,11303397;5,11673400;-74,94125000
4,19495397;5,11673400;-74,94125000
4,27687397;5,20493100;-73,14066000
4,35879397;5,20493100;-73,14066000
4,44071396;5,20493100;-71,34617000
4,52263396;5,20493100;-71,34617000
4,60455396;5,29313000;-69,54558000
4,68647396;5,29313000;-69,54558000
4,76839396;5,29313000;-69,54558000
4,85031396;5,29313000;-67,75109000
4,93223396;5,38132900;-65,95050000
5,01415396;5,38132900;-64,15601000
5,09607396;5,38132900;-64,15601000
5,17799396;5,38132900;-62,35542000
5,25991396;5,46952700;-60,56093000
5,34183396;5,46952700;-60,56093000
5,42375396;5,46952700;-58,76034000
5,50567396;5,46952700;-56,96585000
5,58759396;5,55772600;-56,96585000
5,66951396;5,55772600;-56,96585000
5,75143396;5,64622900;-55,16526000
5,83335396;5,64622900;-53,37077000
5,91527396;5,64622900;-53,37077000
5,99719396;5,64622900;-49,76958000
6,07911395;5,64622900;-49,76958000
6,16103395;5,73442800;-49,76958000
6,24295395;5,73442800;-47,97510000
6,32487395;5,73442800;-47,97510000
6,40679395;5,73442800;-46,17450000
6,48871395;5,82262600;-46,17450000
6,57063395;5,82262600;-46,17450000
6,65255395;5,82262600;-44,38001000
6,73447395;5,82262600;-46,17450000
6,81639395;5,91082500;-42,57943000
6,89831395;5,91082500;-42,57943000
6,98023395;5,91082500;-42,57943000
7,06215395;5,99902300;-42,57943000
7,14407395;5,99902300;-42,57943000
7,22599395;5,99902300;-42,57943000
7,30791395;5,99902300;-42,57943000
7,38983395;5,99902300;-42,57943000
7,47175395;6,08722200;-42,57943000
7,55367395;6,08722200;-42,57943000
7,63559395;6,08722200;-42,57943000
7,71751394;6,08722200;-42,57943000
7,79943394;6,17572500;-42,57943000
7,88135394;6,17572500;-42,57943000
7,96327394;6,17572500;-44,38001000
8,04519394;6,26392400;-44,38001000
8,12711394;6,26392400;-44,38001000
8,20903394;6,17572500;-44,38001000
8,29095394;6,26392400;-46,17450000
8,37287394;6,26392400;-46,17450000
8,45479394;6,35212200;-46,17450000
8,53671394;6,35212200;-47,97510000
8,61863394;6,44032100;-47,97510000
8,70055394;6,44032100;-47,97510000
8,78247394;6,44032100;-47,97510000
8,86439394;6,44032100;-47,97510000
8,94631394;6,52852000;-47,97510000
9,02823394;6,52852000;-47,97510000
9,11015394;6,52852000;-47,97510000
9,19207394;6,52852000;-49,76958000
9,27399394;6,52852000;-49,76958000
9,35591393;6,52852000;-49,76958000
9,43783393;6,61671800;-49,76958000
9,51975393;6,61671800;-49,76958000
9,60167393;6,61671800;-49,76958000
9,68359393;6,61671800;-49,76958000
9,76551393;6,70491600;-49,76958000
9,84743393;6,70491600;-49,76958000
9,92935393;6,70491600;-49,76958000
10,01127393;6,70491600;-47,97510000
10,09319393;6,70491600;-47,97510000
10,17511393;6,79342000;-47,97510000
10,25703393;6,79342000;-47,97510000
10,33895393;6,79342000;-46,17450000
10,42087393;6,88161800;-46,17450000
10,50279393;6,88161800;-46,17450000
10,58471393;6,88161800;-44,38001000
10,66663393;6,88161800;-44,38001000
10,74855393;6,96981700;-44,38001000
10,83047393;6,96981700;-42,57943000
10,91239393;6,96981700;-42,57943000
10,99431393;6,96981700;-40,78493000
11,07623392;7,05801500;-40,78493000
11,15815392;7,05801500;-38,98434000
11,24007392;7,05801500;-38,98434000
11,32199392;7,14621400;-35,38926000
11,40391392;7,14621400;-37,18985000
11,48583392;7,14621400;-35,38926000
11,56775392;7,14621400;-35,38926000
11,64967392;7,23441200;-35,38926000
11,73159392;7,23441200;-33,59477000
11,81351392;7,23441200;-33,59477000
11,89543392;7,23441200;-33,59477000
11,97735392;7,23441200;-31,79418000
12,05927392;7,23441200;-29,99969000
12,14119392;7,32291700;-29,99969000
12,22311392;7,32291700;-28,19910000
12,30503392;7,41111500;-29,99969000
12,38695392;7,41111500;-28,19910000
12,46887392;7,41111500;-29,99969000
12,55079392;7,41111500;-29,99969000
12,63271392;7,49931300;-29,99969000
12,71463391;7,49931300;-29,99969000
12,79655391;7,49931300;-31,79418000
12,87847391;7,49931300;-31,79418000
12,96039391;7,58751200;-33,59477000
13,04231391;7,58751200;-33,59477000
13,12423391;7,58751200;-35,38926000
13,20615391;7,67571000;-35,38926000
13,28807391;7,67571000;-35,38926000
13,36999391;7,67571000;-37,18985000
13,45191391;7,67571000;-38,98434000
13,53383391;7,76390900;-40,78493000
13,61575391;7,76390900;-42,57943000
13,69767391;7,76390900;-42,57943000
13,77959391;7,85210700;-42,57943000
13,86151391;7,76390900;-42,57943000
13,94343391;7,76390900;-42,57943000
14,02535391;7,85210700;-42,57943000
14,10727391;7,85210700;-44,38001000
14,18919391;7,94061100;-46,17450000
14,27111391;7,94061100;-44,38001000
14,35303390;7,94061100;-46,17450000
14,43495390;7,94061100;-46,17450000
14,51687390;8,02881000;-44,38001000
14,59879390;8,02881000;-42,57943000
14,68071390;7,94061100;-38,98434000
14,76263390;8,02881000;-33,59477000
14,84455390;7,94061100;-26,40461000
14,92647390;7,94061100;-19,21445000
15,00839390;7,94061100;-8,42921200
15,09031390;7,85210700;2,35602900
15,17223390;7,85210700;14,93576000
15,25415390;7,85210700;25,72100000
15,33607390;7,76390900;38,30684000
15,41799390;7,67571000;50,88656000
15,49991390;7,67571000;61,67181000
15,58183390;7,67571000;70,66255000
15,66375390;7,58751200;77,85271000
15,74567390;7,58751200;85,04288000
15,82759390;7,49931300;90,43855000
15,90951390;7,49931300;94,03363000
15,99143389;7,49931300;97,62871000
16,07335389;7,41111500;101,22380000
16,15527389;7,41111500;103,01830000
16,23719389;7,41111500;104,81890000
