Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,09936000;3,88103900;-17,64885000
-0,01744000;3,96954300;-14,01715000
0,06448000;4,05774100;-10,38545000
0,14640000;4,05774100;-7,66319800
0,22832000;4,05774100;-3,12509500
0,31024000;4,05774100;1,41605900
0,39216000;4,05774100;5,04165700
0,47408000;4,14594000;8,67336000
0,55600000;4,14594000;13,21146000
0,63792000;4,14594000;17,75262000
0,71984000;4,23413800;22,29072000
0,80176000;4,23413800;25,01297000
0,88368000;4,23413800;29,55107000
0,96560000;4,32233700;31,36692000
1,04752000;4,23413800;34,08918000
1,12944000;4,32233700;36,81448000
1,21136000;4,32233700;37,72087000
1,29327999;4,41053500;39,53673000
1,37519999;4,41053500;40,44313000
1,45711999;4,41053500;40,44313000
1,53903999;4,41053500;40,44313000
1,62095999;4,41053500;39,53673000
1,70287999;4,49903900;39,53673000
1,78479999;4,49903900;37,72087000
1,86671999;4,49903900;36,81448000
1,94863999;4,49903900;35,90503000
2,03055999;4,58723700;34,08918000
2,11247999;4,58723700;32,27637000
2,19439999;4,58723700;30,46052000
2,27631999;4,58723700;29,55107000
2,35823999;4,58723700;26,82882000
2,44015999;4,58723700;24,10657000
2,52207999;4,67543600;22,29072000
2,60399999;4,67543600;19,56541000
2,68591999;4,67543600;17,75262000
2,76783999;4,76363400;15,02731000
2,84975999;4,76363400;12,30506000
2,93167998;4,76363400;8,67336000
3,01359998;4,76363400;5,04165700
3,09551998;4,76363400;1,41605900
3,17743998;4,85183300;-1,30924400
3,25935998;4,85183300;-5,84734600
3,34127998;4,85183300;-10,38545000
3,42319998;4,94003100;-14,01715000
3,50511998;4,94003100;-17,64885000
3,58703998;4,94003100;-22,18696000
3,66895998;4,94003100;-25,81866000
3,75087998;5,02822900;-28,54091000
3,83279998;5,02822900;-32,17261000
3,91471998;5,11673400;-34,89486000
3,99663998;5,11673400;-36,71072000
4,07855998;5,11673400;-38,52657000
4,16047998;5,11673400;-39,43297000
4,24239998;5,20493100;-40,34242000
4,32431998;5,20493100;-40,34242000
4,40623998;5,20493100;-39,43297000
4,48815998;5,20493100;-39,43297000
4,57007997;5,29313000;-38,52657000
4,65199997;5,29313000;-38,52657000
4,73391997;5,29313000;-36,71072000
4,81583997;5,29313000;-35,80126000
4,89775997;5,29313000;-33,07901000
4,97967997;5,29313000;-31,26316000
5,06159997;5,38132900;-29,44731000
5,14351997;5,38132900;-27,63146000
5,22543997;5,38132900;-24,90921000
5,30735997;5,46952700;-23,09336000
5,38927997;5,46952700;-20,37111000
5,47119997;5,46952700;-17,64885000
5,55311997;5,46952700;-14,92355000
5,63503997;5,46952700;-12,20130000
5,71695997;5,55772600;-9,47904900
5,79887997;5,55772600;-6,75374600
5,88079997;5,64622900;-3,12509500
5,96271997;5,64622900;0,50660720
6,04463997;5,64622900;3,22885800
6,12655997;5,73442800;5,95110900
6,20847996;5,73442800;8,67336000
6,29039996;5,73442800;12,30506000
6,37231996;5,73442800;15,02731000
6,45423996;5,73442800;16,84316000
6,53615996;5,82262600;19,56541000
6,61807996;5,82262600;22,29072000
6,69999996;5,82262600;23,19712000
6,78191996;5,82262600;25,91937000
6,86383996;5,91082500;28,64467000
6,94575996;5,91082500;29,55107000
7,02767996;5,91082500;30,46052000
7,10959996;5,91082500;32,27637000
7,19151996;5,99902300;33,18277000
7,27343996;5,99902300;34,08918000
7,35535996;5,99902300;34,99863000
7,43727996;5,99902300;35,90503000
7,51919996;6,08722200;36,81448000
7,60111996;6,08722200;37,72087000
7,68303996;6,17572500;39,53673000
7,76495996;6,17572500;40,44313000
7,84687995;6,17572500;39,53673000
7,92879995;6,17572500;40,44313000
8,01071995;6,17572500;40,44313000
8,09263995;6,17572500;40,44313000
8,17455995;6,26392400;40,44313000
8,25647995;6,26392400;39,53673000
8,33839995;6,26392400;37,72087000
8,42031995;6,35212200;36,81448000
8,50223995;6,35212200;36,81448000
8,58415995;6,35212200;34,99863000
8,66607995;6,35212200;34,08918000
8,74799995;6,35212200;33,18277000
8,82991995;6,35212200;32,27637000
8,91183995;6,44032100;30,46052000
8,99375995;6,44032100;28,64467000
9,07567995;6,52852000;27,73522000
9,15759995;6,52852000;26,82882000
9,23951995;6,52852000;25,01297000
9,32143995;6,52852000;25,01297000
9,40335995;6,52852000;23,19712000
9,48527994;6,61671800;22,29072000
9,56719994;6,61671800;21,38127000
9,64911994;6,61671800;20,47487000
9,73103994;6,61671800;19,56541000
9,81295994;6,70491600;18,65902000
9,89487994;6,70491600;18,65902000
9,97679994;6,70491600;17,75262000
10,05871994;6,70491600;16,84316000
10,14063994;6,79342000;15,93676000
10,22255994;6,79342000;15,02731000
10,30447994;6,79342000;15,02731000
10,38639994;6,88161800;15,02731000
10,46831994;6,88161800;15,02731000
10,55023994;6,88161800;14,12091000
10,63215994;6,88161800;14,12091000
10,71407994;6,96981700;13,21146000
10,79599994;6,96981700;13,21146000
10,87791994;6,96981700;14,12091000
10,95983994;6,96981700;13,21146000
11,04175994;7,05801500;14,12091000
11,12367993;7,05801500;15,02731000
11,20559993;7,05801500;15,93676000
11,28751993;7,05801500;15,93676000
11,36943993;7,05801500;16,84316000
11,45135993;7,14621400;17,75262000
11,53327993;7,14621400;18,65902000
11,61519993;7,23441200;19,56541000
11,69711993;7,23441200;20,47487000
11,77903993;7,23441200;21,38127000
11,86095993;7,23441200;21,38127000
11,94287993;7,23441200;22,29072000
12,02479993;7,23441200;22,29072000
12,10671993;7,41111500;23,19712000
12,18863993;7,41111500;23,19712000
12,27055993;7,32291700;23,19712000
12,35247993;7,41111500;24,10657000
12,43439993;7,41111500;24,10657000
12,51631993;7,41111500;24,10657000
12,59823993;7,41111500;24,10657000
12,68015993;7,49931300;24,10657000
12,76207992;7,49931300;23,19712000
12,84399992;7,58751200;24,10657000
12,92591992;7,58751200;24,10657000
13,00783992;7,58751200;24,10657000
13,08975992;7,58751200;24,10657000
13,17167992;7,58751200;24,10657000
13,25359992;7,67571000;24,10657000
13,33551992;7,67571000;24,10657000
13,41743992;7,67571000;24,10657000
13,49935992;7,67571000;24,10657000
13,58127992;7,76390900;25,01297000
13,66319992;7,76390900;25,01297000
13,74511992;7,76390900;25,01297000
13,82703992;7,85210700;25,91937000
13,90895992;7,85210700;25,91937000
13,99087992;7,85210700;25,01297000
14,07279992;7,85210700;24,10657000
14,15471992;7,85210700;24,10657000
14,23663992;7,94061100;23,19712000
14,31855992;7,94061100;23,19712000
14,40047991;7,94061100;22,29072000
14,48239991;7,94061100;22,29072000
14,56431991;7,94061100;20,47487000
14,64623991;8,02881000;20,47487000
14,72815991;7,94061100;20,47487000
14,81007991;7,94061100;19,56541000
14,89199991;7,94061100;20,47487000
14,97391991;7,94061100;20,47487000
15,05583991;7,94061100;21,38127000
15,13775991;7,85210700;20,47487000
15,21967991;7,85210700;20,47487000
15,30159991;7,76390900;19,56541000
15,38351991;7,76390900;18,65902000
15,46543991;7,67571000;17,75262000
15,54735991;7,67571000;15,93676000
15,62927991;7,58751200;15,02731000
15,71119991;7,58751200;13,21146000
15,79311991;7,58751200;12,30506000
15,87503991;7,58751200;12,30506000
15,95695991;7,49931300;12,30506000
16,03887990;7,49931300;11,39561000
16,12079990;7,49931300;11,39561000
16,20271990;7,41111500;11,39561000
16,28463990;7,49931300;10,48921000
16,36655990;7,41111500;10,48921000
16,44847990;7,41111500;9,58281100
16,53039990;7,41111500;9,58281100
16,61231990;7,41111500;8,67336000
16,69423990;7,32291700;7,76696100
16,77615990;7,41111500;7,76696100
16,85807990;7,32291700;7,76696100
16,93999990;7,23441200;5,95110900
