Tiempo;Canal A;Canal B
(ms);(V);(mV)

-0,14012100;3,96954300;-64,15601000
-0,05820100;3,96954300;-67,75109000
0,02371900;4,05774100;-69,54558000
0,10563900;4,05774100;-69,54558000
0,18755900;4,05774100;-71,34617000
0,26947899;4,05774100;-71,34617000
0,35139899;4,05774100;-73,14066000
0,43331899;4,05774100;-73,14066000
0,51523899;4,14594000;-74,94125000
0,59715899;4,14594000;-74,94125000
0,67907899;4,14594000;-74,94125000
0,76099899;4,14594000;-74,94125000
0,84291899;4,23413800;-74,94125000
0,92483899;4,23413800;-74,94125000
1,00675899;4,23413800;-74,94125000
1,08867899;4,32233700;-73,14066000
1,17059899;4,41053500;-73,14066000
1,25251899;4,32233700;-71,34617000
1,33443899;4,41053500;-71,34617000
1,41635899;4,41053500;-69,54558000
1,49827899;4,41053500;-69,54558000
1,58019899;4,41053500;-69,54558000
1,66211899;4,41053500;-67,75109000
1,74403899;4,49903900;-65,95050000
1,82595899;4,49903900;-65,95050000
1,90787898;4,49903900;-64,15601000
1,98979898;4,49903900;-62,35542000
2,07171898;4,58723700;-60,56093000
2,15363898;4,58723700;-60,56093000
2,23555898;4,58723700;-56,96585000
2,31747898;4,58723700;-56,96585000
2,39939898;4,58723700;-55,16526000
2,48131898;4,67543600;-55,16526000
2,56323898;4,67543600;-53,37077000
2,64515898;4,67543600;-49,76958000
2,72707898;4,76363400;-49,76958000
2,80899898;4,67543600;-47,97510000
2,89091898;4,76363400;-44,38001000
2,97283898;4,76363400;-42,57943000
3,05475898;4,76363400;-40,78493000
3,13667898;4,85183300;-37,18985000
3,21859898;4,76363400;-35,38926000
3,30051898;4,85183300;-33,59477000
3,38243898;4,85183300;-29,99969000
3,46435898;4,94003100;-28,19910000
3,54627897;4,94003100;-24,60402000
3,62819897;4,94003100;-21,00894000
3,71011897;4,94003100;-19,21445000
3,79203897;5,02822900;-19,21445000
3,87395897;5,02822900;-15,61937000
3,95587897;5,02822900;-13,81878000
4,03779897;5,11673400;-13,81878000
4,11971897;5,11673400;-13,81878000
4,20163897;5,11673400;-13,81878000
4,28355897;5,11673400;-13,81878000
4,36547897;5,11673400;-15,61937000
4,44739897;5,20493100;-15,61937000
4,52931897;5,20493100;-17,41386000
4,61123897;5,20493100;-19,21445000
4,69315897;5,20493100;-21,00894000
4,77507897;5,29313000;-22,80953000
4,85699897;5,29313000;-28,19910000
4,93891897;5,29313000;-29,99969000
5,02083897;5,29313000;-33,59477000
5,10275897;5,29313000;-37,18985000
5,18467896;5,38132900;-40,78493000
5,26659896;5,38132900;-46,17450000
5,34851896;5,38132900;-49,76958000
5,43043896;5,46952700;-55,16526000
5,51235896;5,46952700;-58,76034000
5,59427896;5,46952700;-64,15601000
5,67619896;5,46952700;-69,54558000
5,75811896;5,55772600;-73,14066000
5,84003896;5,55772600;-76,73574000
5,92195896;5,64622900;-80,33082000
6,00387896;5,64622900;-83,92590000
6,08579896;5,64622900;-87,52098000
6,16771896;5,64622900;-91,11606000
6,24963896;5,64622900;-92,91666000
6,33155896;5,73442800;-94,71114000
6,41347896;5,73442800;-96,51173000
6,49539896;5,73442800;-98,30622000
6,57731896;5,82262600;-100,10680000
6,65923896;5,82262600;-100,10680000
6,74115896;5,82262600;-100,10680000
6,82307895;5,82262600;-100,10680000
6,90499895;5,82262600;-98,30622000
6,98691895;5,91082500;-98,30622000
7,06883895;5,91082500;-98,30622000
7,15075895;5,99902300;-96,51173000
7,23267895;5,91082500;-94,71114000
7,31459895;5,99902300;-92,91666000
7,39651895;5,99902300;-91,11606000
7,47843895;5,99902300;-89,32157000
7,56035895;5,99902300;-87,52098000
7,64227895;6,08722200;-85,72649000
7,72419895;6,08722200;-83,92590000
7,80611895;6,17572500;-82,13141000
7,88803895;6,17572500;-78,53633000
7,96995895;6,17572500;-76,73574000
8,05187895;6,17572500;-74,94125000
8,13379895;6,17572500;-71,34617000
8,21571895;6,17572500;-69,54558000
8,29763895;6,26392400;-67,75109000
8,37955895;6,26392400;-65,95050000
8,46147894;6,35212200;-64,15601000
8,54339894;6,26392400;-60,56093000
8,62531894;6,35212200;-58,76034000
8,70723894;6,35212200;-58,76034000
8,78915894;6,44032100;-56,96585000
8,87107894;6,44032100;-56,96585000
8,95299894;6,44032100;-55,16526000
9,03491894;6,44032100;-55,16526000
9,11683894;6,44032100;-53,37077000
9,19875894;6,52852000;-53,37077000
9,28067894;6,52852000;-51,57018000
9,36259894;6,52852000;-53,37077000
9,44451894;6,52852000;-53,37077000
9,52643894;6,61671800;-55,16526000
9,60835894;6,61671800;-56,96585000
9,69027894;6,61671800;-56,96585000
9,77219894;6,70491600;-58,76034000
9,85411894;6,70491600;-62,35542000
9,93603894;6,70491600;-64,15601000
10,01795894;6,70491600;-65,95050000
10,09987893;6,70491600;-67,75109000
10,18179893;6,70491600;-71,34617000
10,26371893;6,79342000;-73,14066000
10,34563893;6,79342000;-74,94125000
10,42755893;6,79342000;-76,73574000
10,50947893;6,88161800;-78,53633000
10,59139893;6,88161800;-80,33082000
10,67331893;6,88161800;-80,33082000
10,75523893;6,88161800;-83,92590000
10,83715893;6,96981700;-83,92590000
10,91907893;6,96981700;-83,92590000
11,00099893;6,96981700;-85,72649000
11,08291893;7,05801500;-85,72649000
11,16483893;7,05801500;-87,52098000
11,24675893;7,05801500;-87,52098000
11,32867893;7,05801500;-87,52098000
11,41059893;7,05801500;-87,52098000
11,49251893;7,05801500;-89,32157000
11,57443893;7,14621400;-89,32157000
11,65635893;7,23441200;-89,32157000
11,73827892;7,23441200;-89,32157000
11,82019892;7,23441200;-91,11606000
11,90211892;7,23441200;-91,11606000
11,98403892;7,23441200;-91,11606000
12,06595892;7,23441200;-91,11606000
12,14787892;7,32291700;-91,11606000
12,22979892;7,32291700;-91,11606000
12,31171892;7,32291700;-92,91666000
12,39363892;7,41111500;-92,91666000
12,47555892;7,41111500;-94,71114000
12,55747892;7,41111500;-94,71114000
12,63939892;7,49931300;-98,30622000
12,72131892;7,49931300;-100,10680000
12,80323892;7,49931300;-100,10680000
12,88515892;7,49931300;-103,70190000
12,96707892;7,58751200;-103,70190000
13,04899892;7,58751200;-105,49640000
13,13091892;7,58751200;-107,29700000
13,21283892;7,58751200;-107,29700000
13,29475892;7,67571000;-109,09760000
13,37667891;7,67571000;-110,89210000
13,45859891;7,67571000;-110,89210000
13,54051891;7,67571000;-110,89210000
13,62243891;7,67571000;-110,89210000
13,70435891;7,76390900;-110,89210000
13,78627891;7,76390900;-109,09760000
13,86819891;7,76390900;-109,09760000
13,95011891;7,76390900;-107,29700000
14,03203891;7,85210700;-105,49640000
14,11395891;7,85210700;-101,90130000
14,19587891;7,85210700;-100,10680000
14,27779891;7,94061100;-98,30622000
14,35971891;7,94061100;-96,51173000
14,44163891;7,94061100;-92,91666000
14,52355891;7,94061100;-91,11606000
14,60547891;7,94061100;-87,52098000
14,68739891;8,02881000;-85,72649000
14,76931891;7,94061100;-82,13141000
14,85123891;8,02881000;-78,53633000
14,93315891;7,94061100;-78,53633000
15,01507890;7,94061100;-76,73574000
15,09699890;7,94061100;-74,94125000
15,17891890;7,94061100;-74,94125000
15,26083890;7,85210700;-73,14066000
15,34275890;7,76390900;-73,14066000
15,42467890;7,76390900;-71,34617000
15,50659890;7,76390900;-69,54558000
15,58851890;7,67571000;-65,95050000
15,67043890;7,67571000;-62,35542000
15,75235890;7,58751200;-56,96585000
15,83427890;7,58751200;-53,37077000
15,91619890;7,58751200;-47,97510000
15,99811890;7,49931300;-42,57943000
16,08003890;7,49931300;-40,78493000
16,16195890;7,49931300;-35,38926000
