Time,Channel A,Channel B
(ms),(V),(mV)

-0.32627501,4.90768100,4.15051700
-0.16243501,4.90768100,3.25022100
0.00140499,4.99618500,3.25022100
0.16524499,4.99618500,3.25022100
0.32908499,4.99618500,2.34992500
0.49292498,4.99618500,3.25022100
0.65676498,5.08499400,5.04776100
0.82060498,5.08499400,5.94500500
0.98444498,5.17349800,7.74559700
1.14828498,5.17349800,9.54619000
1.31212498,5.26230700,10.44649000
1.47596498,5.26230700,11.34678000
1.63980498,5.35111500,12.24708000
1.80364498,5.35111500,12.24708000
1.96748498,5.43961900,12.24708000
2.13132497,5.43961900,12.24708000
2.29516497,5.52842800,14.04462000
2.45900497,5.52842800,13.14432000
2.62284497,5.52842800,11.34678000
2.78668497,5.61693100,9.54619000
2.95052497,5.61693100,7.74559700
3.11436497,5.70574000,5.94500500
3.27820497,5.70574000,2.34992500
3.44204497,5.70574000,-0.35096290
3.60588497,5.79454900,-3.04879900
3.76972496,5.79454900,-4.84939100
3.93356496,5.88305300,-5.74968700
4.09740496,5.88305300,-6.64998300
4.26124496,5.97186200,-5.74968700
4.42508496,5.97186200,-4.84939100
4.58892496,6.06036600,-3.94909500
4.75276496,6.06036600,-3.04879900
4.91660496,6.06036600,-2.15155500
5.08044496,6.14917500,-1.25125900
5.24428496,6.14917500,1.44962900
5.40812495,6.23767800,0.54933320
5.57196495,6.23767800,1.44962900
5.73580495,6.23767800,3.25022100
5.89964495,6.32648700,4.15051700
6.06348495,6.41529600,5.04776100
6.22732495,6.41529600,5.04776100
6.39116495,6.41529600,6.84530200
6.55500495,6.50379900,5.04776100
6.71884495,6.50379900,4.15051700
6.88268495,6.59260800,2.34992500
7.04652494,6.59260800,0.54933320
7.21036494,6.68111200,-3.04879900
7.37420494,6.68111200,-4.84939100
7.53804494,6.76992100,-6.64998300
7.70188494,6.76992100,-9.35087100
7.86572494,6.85873000,-10.24812000
8.02956494,6.85873000,-11.14841000
8.19340494,6.85873000,-11.14841000
8.35724494,6.94723400,-10.24812000
8.52108494,6.94723400,-9.35087100
8.68492493,7.03604200,-9.35087100
8.84876493,7.03604200,-7.55027900
9.01260493,7.12454600,-6.64998300
9.17644493,7.12454600,-4.84939100
9.34028493,7.12454600,-5.74968700
9.50412493,7.21335500,-4.84939100
9.66796493,7.21335500,-4.84939100
9.83180493,7.30216400,-4.84939100
9.99564493,7.30216400,-3.94909500
10.15948493,7.39066700,-3.94909500
10.32332492,7.39066700,-2.15155500
10.48716492,7.47947600,-3.04879900
10.65100492,7.47947600,-4.84939100
10.81484492,7.56798000,-5.74968700
10.97868492,7.56798000,-8.45057600
11.14252492,7.56798000,-11.14841000
11.30636492,7.65678900,-12.94900000
11.47020492,7.65678900,-14.74959000
11.63404492,7.74559800,-15.64989000
11.79788492,7.74559800,-16.55019000
11.96172491,7.74559800,-17.44743000
12.12556491,7.83410100,-16.55019000
12.28940491,7.83410100,-16.55019000
12.45324491,7.83410100,-14.74959000
12.61708491,7.92291000,-14.74959000
12.78092491,7.83410100,-15.64989000
12.94476491,7.83410100,-16.55019000
13.10860491,7.74559800,-16.55019000
13.27244491,7.65678900,-14.74959000
13.43628491,7.56798000,-11.14841000
13.60012490,7.56798000,-7.55027900
13.76396490,7.47947600,-4.84939100
13.92780490,7.47947600,-3.94909500
14.09164490,7.47947600,-2.15155500
14.25548490,7.39066700,-2.15155500
14.41932490,7.39066700,-2.15155500
14.58316490,7.30216400,-2.15155500
14.74700490,7.30216400,-3.04879900
14.91084490,7.30216400,-3.94909500
15.07468490,7.21335500,-3.94909500
15.23852489,7.21335500,-3.94909500
15.40236489,7.12454600,-4.84939100
15.56620489,7.12454600,-5.74968700
15.73004489,7.03604200,-6.64998300
15.89388489,7.03604200,-8.45057600
16.05772489,6.94723400,-9.35087100
16.22156489,6.94723400,-9.35087100
16.38540489,6.85873000,-11.14841000
16.54924489,6.85873000,-9.35087100
16.71308489,6.76992100,-9.35087100
16.87692488,6.76992100,-9.35087100
17.04076488,6.76992100,-7.55027900
17.20460488,6.68111200,-5.74968700
17.36844488,6.68111200,-3.04879900
17.53228488,6.68111200,-0.35096290
17.69612488,6.59260800,2.34992500
17.85996488,6.50379900,5.04776100
18.02380488,6.50379900,5.94500500
18.18764488,6.41529600,6.84530200
18.35148488,6.41529600,6.84530200
18.51532487,6.41529600,5.94500500
18.67916487,6.41529600,5.04776100
18.84300487,6.23767800,3.25022100
19.00684487,6.23767800,3.25022100
19.17068487,6.23767800,1.44962900
19.33452487,6.14917500,1.44962900
19.49836487,6.14917500,0.54933320
19.66220487,6.06036600,-2.15155500
19.82604487,6.06036600,-2.15155500
19.98988487,5.97186200,-3.04879900
20.15372486,5.97186200,-4.84939100
20.31756486,5.88305300,-3.94909500
20.48140486,5.88305300,-4.84939100
20.64524486,5.88305300,-4.84939100
20.80908486,5.79454900,-3.94909500
20.97292486,5.79454900,-2.15155500
21.13676486,5.79454900,-0.35096290
21.30060486,5.79454900,2.34992500
21.46444486,5.70574000,5.94500500
21.62828486,5.61693100,8.64589300
21.79212485,5.61693100,11.34678000
21.95596485,5.52842800,13.14432000
22.11980485,5.52842800,14.04462000
22.28364485,5.43961900,14.94491000
22.44748485,5.43961900,14.04462000
22.61132485,5.43961900,14.04462000
22.77516485,5.43961900,14.04462000
22.93900485,5.35111500,13.14432000
23.10284485,5.26230700,12.24708000
23.26668485,5.26230700,12.24708000
23.43052485,5.26230700,10.44649000
23.59436484,5.17349800,8.64589300
23.75820484,5.08499400,7.74559700
23.92204484,5.08499400,6.84530200
24.08588484,5.08499400,5.94500500
24.24972484,4.99618500,5.04776100
24.41356484,4.99618500,3.25022100
24.57740484,4.90768100,4.15051700
24.74124484,4.90768100,4.15051700
24.90508484,4.90768100,5.04776100
25.06892484,4.90768100,5.94500500
25.23276483,4.81887200,6.84530200
25.39660483,4.81887200,8.64589300
25.56044483,4.73006400,11.34678000
25.72428483,4.64156000,14.04462000
25.88812483,4.64156000,14.94491000
26.05196483,4.64156000,16.74551000
26.21580483,4.55275100,16.74551000
26.37964483,4.55275100,15.84521000
26.54348483,4.46424800,14.04462000
26.70732483,4.46424800,14.04462000
26.87116482,4.37543900,12.24708000
27.03500482,4.37543900,11.34678000
27.19884482,4.28663000,9.54619000
27.36268482,4.28663000,7.74559700
27.52652482,4.19812600,6.84530200
27.69036482,4.19812600,4.15051700
27.85420482,4.19812600,0.54933320
28.01804482,4.10931700,-1.25125900
28.18188482,4.10931700,-3.04879900
28.34572482,4.02081300,-4.84939100
28.50956481,4.02081300,-5.74968700
28.67340481,4.02081300,-5.74968700
28.83724481,3.93200500,-5.74968700
29.00108481,3.84319600,-3.94909500
29.16492481,3.84319600,-0.35096290
29.32876481,3.84319600,0.54933320
29.49260481,3.75469200,4.15051700
29.65644481,3.75469200,5.94500500
29.82028481,3.66588300,7.74559700
29.98412481,3.66588300,7.74559700
30.14796480,3.66588300,7.74559700
30.31180480,3.57738000,6.84530200
30.47564480,3.57738000,5.94500500
30.63948480,3.48857100,5.04776100
30.80332480,3.48857100,5.04776100
30.96716480,3.39976200,4.15051700
31.13100480,3.39976200,2.34992500
31.29484480,3.31125800,1.44962900
31.45868480,3.31125800,-0.35096290
31.62252480,3.22244900,-2.15155500
31.78636479,3.22244900,-3.94909500
31.95020479,3.22244900,-5.74968700
32.11404479,3.22244900,-7.55027900
32.27788479,3.13394600,-9.35087100
32.44172479,3.04513700,-10.24812000
32.60556479,3.04513700,-11.14841000
32.76940479,2.95663300,-10.24812000
32.93324479,2.95663300,-9.35087100
33.09708479,2.95663300,-6.64998300
33.26092479,2.86782400,-4.84939100
